compound,n_lines,r2_lineage,r2_nonsyn,r2_expression,r2_expr_lineage,r2_cnv,r2_expr_on_cnv_lines,r2_cnv_expr,n_lines_cnv,r2_protein,n_lines_rppa
AZD8931,721,0.1682087214864424,0.007505275366183506,0.27171329740060346,0.2717422877852098,0.13342041949589745,0.2563365330255347,0.27091495558530354,719,0.2680318464495399,652
BMS-754807,721,0.10499092852456615,0.015650059273142336,0.14704608419933074,0.1526677516406929,0.01819806926259815,0.14349190265913736,0.12350588340554036,719,0.09217048149874418,652
CP-724714,721,0.03192784067329946,0.005824593222494068,0.09538053136073155,0.09612996167471799,0.013028133887422189,0.0947338896530856,0.09728575478470913,719,0.08049767094359406,652
LY2801653,721,0.0012099663812999983,0.0016329973262467767,0.05309871746714678,0.05126998303819752,-0.002669709506720297,0.07923708803758589,0.07380318426676402,719,0.01885299206558677,652
XL-647,721,0.1262184679647147,0.0015646090449991101,0.20261093271195363,0.20625216516165468,0.08067121892914952,0.2010762336821187,0.20505572392230886,719,0.16020897319957694,652
alpelisib,721,0.04095308592331015,0.024149963019484577,0.13379538987013173,0.13754413916555464,0.040566664896573124,0.12207605336694838,0.14450193422119428,719,0.1302006587530362,652
alvocidib,721,0.0817720498746316,0.021433592919820166,0.17999228772917797,0.18115380257400104,0.04095701033104171,0.18337569358663064,0.17529912673434322,719,0.13579691168567898,652
bardoxolone-methyl,721,0.0591741507664203,0.02430109874766795,0.13419867635261673,0.13545201572572807,0.008834407120273391,0.13556095139826185,0.11451565710375522,719,0.09601424924209845,652
brequinar,721,0.002707561925877733,-0.016969743565036666,0.05611012346699562,0.05543097601697289,-0.025936375245461996,0.0730927498339079,0.03336520202589888,719,0.04417315946902822,652
dacarbazine,721,0.013696280070571332,-0.004770170116810801,0.047487495127116475,0.053322948033806106,-0.022799888248808742,0.04323431486180884,0.019139765849453427,719,0.03448590254266326,652
dacomitinib,721,0.16830908450609927,0.02967802272513731,0.29300533451161714,0.2932392913643823,0.11591870929351389,0.27570038217296056,0.28490820798377814,719,0.26969321045486916,652
gefitinib,721,0.04988322697997283,-0.000765250373349291,0.15153142300499067,0.15284188217085715,0.0676704785918264,0.15432208374687983,0.16061452646613616,719,0.16855728738016662,652
golvatinib,721,0.011259121561420837,-0.000739947421342535,0.0564633318426061,0.05629384734552756,0.007650130301029345,0.029576117278378278,0.03296604735323805,719,0.012171410386874526,652
icariin,721,0.00714821698639323,-0.0022585111702708716,0.03734745882227197,0.03893820355530109,-0.018793750020406286,0.03741494916682697,0.01982882424873078,719,0.03317680187886507,653
navitoclax,721,0.01248121699841076,0.0010707333572723687,0.06953127732985809,0.07016607200091285,0.040692060501831384,0.08316089103524582,0.0949296597071605,719,0.020063461668824112,652
odanacatib,721,-0.008519133027937276,-0.006802418779730868,0.06804834359252643,0.06742754160267772,-0.012410595712827543,0.0805667207919536,0.055993534742260875,719,0.05740206632761946,652
panobinostat,721,0.00611248484098581,0.010876108835372489,0.08932785053265457,0.08855867232880488,-0.026673193187866095,0.10205886454501933,0.04532942070939494,719,0.06455374999949381,652
pelitinib,721,0.15239230562458672,0.0012822738182859394,0.2681097480394746,0.2687551506725002,0.10167371483284504,0.2750193708358647,0.26357323167618774,719,0.23938042886926714,652
pemetrexed,721,0.005076546864303477,-0.012020060600023363,0.012576957331495109,0.013534737025778343,-0.011759965823667562,0.015301020990519998,0.0001445741001369072,719,-0.0005336474291430804,653
rociletinib,721,0.04629276044786923,0.0009408349289860007,0.09942630167581079,0.10111965002137624,-0.02223245616554803,0.0748759782703754,0.05278976151970449,719,0.11755611534937949,652
selumetinib,721,0.16748789148886356,0.01685129239162697,0.2721073944021466,0.27287253093881936,-0.002763319999383951,0.26160476201783,0.2013834655662634,719,0.1845750691536996,652
thioguanine,721,0.02862188050845038,0.001891762242691497,0.03811909420035675,0.0410670603154597,0.005330209151889531,0.034862830259399735,0.033886103721995076,719,0.017205579321379894,652
toceranib,721,-0.0020535072794256592,-0.01716286913945053,0.04992660071279176,0.05334195328937896,-0.023356227714536715,0.02733759994096041,0.01120454062892795,719,0.07680104863030213,653
uprosertib,721,0.07864874304984282,0.04420127772066751,0.1872446918452375,0.1855327484073741,0.04108883689963616,0.22372455310806838,0.17846845509809917,719,0.2262663223297775,652
vandetanib,721,0.024358378627173827,-0.005258673154153737,0.03733730723477435,0.0383370963145202,0.0011818678018840068,0.04200151849696521,0.04119227401840031,719,0.026810398821430215,652
I-BET-762,720,0.03044665220766929,0.0011929587538802577,0.05726327052239588,0.05797781011531533,0.0039741678733382635,0.044369503509852026,0.04112421834726365,718,0.05820489751147284,651
cyt387,720,-0.004340972172251156,-0.007056096184921534,0.06397799794170556,0.06452212795943246,-0.025441411901167887,0.06700041168968385,0.0468134248136749,718,0.034390619323988236,651
fosbretabulin,720,0.004889848347012005,-0.007241343794802901,0.15626645207241274,0.15541163898592458,0.013069980899974465,0.16283930797139112,0.12958899120929657,718,0.11897837081254159,651
fruquintinib,720,-0.007700075152767161,-0.02096978039629871,0.07166317472238082,0.07139319176331205,-0.009675093386041445,0.0770189723477287,0.06050108891947947,718,0.007122947355494014,651
indirubin,720,-0.006696593041828125,-0.006414398606428007,0.09104833091634501,0.09151705399171561,-0.0129221385026832,0.06428433726112504,0.04017208616992085,718,0.03930757719441347,651
linsitinib,720,0.041928766052510946,0.022936878041193043,0.10913318755428758,0.11045509860244973,0.020209332960742454,0.08767751205532837,0.07627464172558251,718,0.08435007020581808,651
matrine,720,0.0027106573596377137,-0.006741050946990068,0.03875798098801153,0.03853302196579256,-0.026916724415548154,0.06325727661676617,0.031240984931171,718,0.024291491982974867,651
resminostat,720,-0.007361971211154339,-0.01169293293360707,0.034869929786161324,0.03527780106849443,-0.03968540105213347,0.06314857765762705,0.005266133201643597,718,7.7255616801164e-05,651
rucaparib,720,0.002134983478699004,0.010284493717548582,0.06636791063557002,0.0659147410568297,-0.0024436286923088524,0.0677711873431932,0.043545607956608,718,0.029539045234695194,651
semaxanib,720,0.012486560040115724,-0.011261847385406476,0.10081552135938499,0.10057495623305024,0.003276230118686052,0.08594481685992106,0.07334829860524394,718,0.040314263619207535,651
talmapimod,720,0.0013556870918794983,-0.024131735317242775,0.05261338919465708,0.05489660388030304,-0.015190622202008397,0.056468665753336755,0.03923931864395347,718,0.049813654641095884,651
LOXO-101,718,0.0010733175578654386,-0.0012523171549436718,0.07667734117622615,0.07853237714323391,-0.0022893247042203857,0.08904607638607231,0.07002678413213059,716,0.06402018819435273,649
LY2157299,718,-0.00902261333512322,-0.0028879164346200525,0.06426408619360224,0.0630651373721316,-0.005468114550332803,0.05469163664261689,0.05820880072340062,716,0.05618142649395719,649
VX-745,718,-0.013737622513652736,-0.005836052235384415,0.05401968233558696,0.053713325201962925,0.02815127309835519,0.06412417856734787,0.07818610079838983,716,0.07670919932905151,649
anlotinib,718,0.017477523079901136,-0.027527455078764085,0.021906740256789847,0.0251132255525226,-0.010385617640985112,0.030880536475018316,0.024818612964275677,716,0.01924336805998972,649
exisulind,718,0.0010292775300040358,0.004938494087036505,0.06944379300254289,0.06883295566981551,0.011326440550895378,0.054724704975511074,0.04906289323284163,716,0.1162435522663755,649
genistein,718,0.002056900345822954,-0.00020036603210105142,0.0336559037987868,0.03268228884131996,-0.04769145076485248,0.030963513519941643,-0.007679446481558383,716,0.049100740755009586,649
lomeguatrib,718,-0.008925665776841063,-0.005585257370604335,0.04764551245326043,0.047970402647751875,-0.02772232939140684,0.06257870118749875,0.03291564851835027,716,0.060131235497960955,649
meisoindigo,718,0.017134621399471972,-0.003748535785518925,0.05192658280589291,0.05264904326504449,-0.0057729958612784404,0.04068910182645513,0.04029274097919211,716,0.008795190510803685,649
pexidartinib,718,0.002206165796357573,-0.019183719488248263,0.08938589200146341,0.08817375123844606,-0.029107314694978292,0.07124122065793337,0.046464957388441364,716,0.0578629829927052,649
FK-866,717,0.029450520090519072,0.004915526700893902,0.12073847567493856,0.12155075690045591,0.019073304087788068,0.11540625489515677,0.09617475590610869,715,0.0876477149032111,649
bortezomib,717,0.06975365044187654,0.0027581717867550815,0.1447613280758827,0.14717571820910935,0.001031456591060298,0.13638259126405594,0.10765792370082505,715,0.0966766605421786,649
dasatinib,717,0.12001145134286595,0.02736720079613031,0.2893279462414232,0.28955191136983494,0.050007636028528424,0.2874973112386736,0.2836998882169378,715,0.1900494375947993,649
docetaxel,717,0.03620418911995005,0.009936873477038644,0.1425552888235998,0.1436678388997511,0.027313641305598213,0.13551039968797762,0.11642655776648336,715,0.1111361168686471,649
filanesib,717,-0.00438870660449564,0.006881592952873494,0.1000559512774497,0.09828428241672615,0.017710573381142902,0.11100085272936444,0.09054479368387813,715,0.07713795254065414,649
oltipraz,717,0.02632789694053994,-0.013085465965639198,0.09474654107381064,0.09727389522703866,0.01665628084831383,0.09808249176217343,0.08868731711180211,715,0.10048873869804809,649
paclitaxel,717,0.0697030904530781,-0.004918237610969767,0.18435860650805969,0.18922356701264575,0.04385899255319936,0.16590030825889002,0.14720367071519203,715,0.12608721356896013,649
pralatrexate,717,0.019485548979988554,-0.025332366862084177,0.0868253581863333,0.08887818260462388,-0.02577191067993878,0.08954847153139622,0.03840069590472328,715,0.021390514298579633,649
tamibarotene,717,0.03141843741177053,0.019802306948658255,0.07747878160306865,0.079006227093815,0.0072669632901632975,0.07735484180477514,0.06645762340038308,715,0.08311603295603409,649
tanespimycin,717,0.10165209494035665,-0.005556332584271795,0.19565594280490384,0.19835636794399825,0.04273183896681487,0.18618675630636838,0.1779786717194558,715,0.1424030441019669,649
