gene,component,n_mut,n_wt,effect,p,q
CPT1B,C1,82,8610,0.11858754605054855,5.616049524345273e-06,0.0028919598109344207
FANCM,C1,247,8445,0.08063570410013199,5.649611083068061e-06,0.0028919598109344207
PRPF4B,C1,120,8572,0.14327269047498703,5.677471780668626e-06,0.0028919598109344207
MYOM1,C1,222,8470,0.09497030824422836,5.698666493088674e-06,0.0028919598109344207
TM6SF1,C1,73,8619,0.11090962588787079,5.70838497331203e-06,0.0028919598109344207
OBSCN,C10,842,7850,0.05087721720337868,5.750426551332758e-06,0.0028995169652418235
PTPN23,C1,130,8562,0.08797292783856392,5.829244197390787e-06,0.0029254595667806836
ABCA1,C1,230,8462,0.07615645974874496,5.952141520936844e-06,0.002949415629766318
GPR45,C1,83,8609,0.148415669798851,5.9888434437736954e-06,0.002949415629766318
ZNF608,C2,156,8536,0.056445203721523285,6.01684565845418e-06,0.002949415629766318
BMPR2,C1,157,8535,0.11833944916725159,6.019632208181429e-06,0.002949415629766318
N4BP2,C1,181,8511,0.09111616015434265,6.048031483821359e-06,0.002949415629766318
ZCWPW2,C1,72,8620,0.11054303124547005,6.068956147568997e-06,0.002949415629766318
CCDC180,C1,188,8504,0.06974133849143982,6.070118980584774e-06,0.002949415629766318
DCHS1,C2,340,8352,0.040458764880895615,6.187743848020592e-06,0.0029929641012579607
PCDH17,C1,318,8374,0.07660728693008423,6.286759166799247e-06,0.0030271594950187944
OR2A2,C1,96,8596,0.11993438377976418,6.347630316297335e-06,0.003042763633591569
ZNF786,C1,113,8579,0.10919895768165588,6.448970854785288e-06,0.0030775410200586076
HECA,C2,91,8601,0.07221613824367523,6.498844221215407e-06,0.0030875575638712985
EPB41,C1,100,8592,0.10724339634180069,6.5658692596818536e-06,0.0031055980547918206
EPHA4,C1,179,8513,0.10049214959144592,6.6680411172649175e-06,0.0031400304989918533
EP400,C1,311,8381,0.06302981078624725,6.800244121193218e-06,0.0031882407700836416
DIS3L,C1,107,8585,0.10737238824367523,6.8364073790310066e-06,0.0031911991405628756
FARP2,C1,117,8575,0.10042174160480499,6.880782640666507e-06,0.0031979484398116827
SNAPC3,C1,29,8663,0.2551427185535431,7.061227230779629e-06,0.0032531947225300107
ZNF518B,C1,144,8548,0.10730971395969391,7.103787305017653e-06,0.0032531947225300107
ZNF492,C1,134,8558,0.10063740238547325,7.115192530985866e-06,0.0032531947225300107
SEMA5B,C1,209,8483,0.07009772211313248,7.121384944918636e-06,0.0032531947225300107
KIAA0195,C1,160,8532,0.074305959045887,7.2225773375634425e-06,0.0032853813918135395
MYH6,C1,326,8366,0.06515860557556152,7.371236484554536e-06,0.0033387953188683973
TMEM132C,C1,132,8560,0.10125559940934181,7.4427730004937995e-06,0.0033569732601720892
FGF13,C2,86,8606,0.08014845103025436,7.645711482303664e-06,0.003434016700051817
POLRMT,C1,131,8561,0.1109093725681305,7.896538427812683e-06,0.0035318341915458766
DMXL2,C1,323,8369,0.06443062424659729,7.954548063145947e-06,0.0035429557073252045
MAK16,C1,38,8654,0.1644611358642578,8.011342580030834e-06,0.0035534459603111038
MYOF,C1,212,8480,0.07987146079540253,8.056143176479936e-06,0.003558551574351237
COL6A3,C1,494,8198,0.045908582396805286,8.104287738189072e-06,0.0035650861813228767
RNF14,C1,50,8642,0.11959188804030418,8.338784997729128e-06,0.0036532080373657904
ANAPC1,C1,172,8520,0.08868549391627312,8.514389203227054e-06,0.0037149148908904458
MUC17,C1,747,7945,0.0529700368642807,8.618796428506958e-06,0.0037451823700068287
LAMA5,C2,347,8345,0.03443865478038788,8.679267232657953e-06,0.0037561900813854435
ARID4B,C2,171,8521,0.052559107542037964,8.732744316678218e-06,0.003764094501917882
TRPV2,C1,92,8600,0.0973687469959259,8.789249648120447e-06,0.0037732354633955158
RYR1,C1,695,7997,0.04966409504413605,8.914571065280409e-06,0.003807348501244182
BRAF,C10,729,7963,0.04587857238948345,8.93994605796559e-06,0.003807348501244182
CUBN,C1,574,8118,0.06633830815553665,9.393753072309298e-06,0.0039698627862827926
ZNF420,C1,103,8589,0.11037777364253998,9.395817289043055e-06,0.0039698627862827926
VHL,C2,199,8493,-0.048757947981357574,9.572195164183314e-06,0.004028462103427321
ABCA13,C1,643,8049,0.04786258935928345,9.644773701365055e-06,0.004043089135612231
ATP2B3,C2,203,8489,0.05314652621746063,9.708819586737467e-06,0.004054038978687064
ZNF665,C1,155,8537,0.10970234125852585,9.861100952653132e-06,0.004101604075621826
ANK2,C1,553,8139,0.05277325212955475,9.90101319740739e-06,0.004102243049418839
ARAP2,C1,246,8446,0.07842571288347244,1.0126281556079484e-05,0.004178899467549398
NF1,C1,497,8195,0.05491417646408081,1.0167131886383361e-05,0.004178899467549398
USP42,C1,112,8580,0.10923217982053757,1.0203307523484442e-05,0.004178899467549398
CUBN,C2,574,8118,0.03016992099583149,1.0294952023846496e-05,0.0042003404257293705
APC,C1,618,8074,0.04645407944917679,1.0410481036664417e-05,0.004231326163099922
ITSN2,C1,203,8489,0.08856208063662052,1.0541541378586667e-05,0.004252228762618488
PRPF38B,C1,77,8615,0.11206125468015671,1.0548442660018837e-05,0.004252228762618488
