,C1,C2,C5,C6,C7,C10,cancer_type
TCGA-OR-A5JF-01,-0.310497909784317,0.03433486819267273,-0.13410356640815735,0.23060306906700134,0.20536701381206512,-0.028926506638526917,ACC
TCGA-OR-A5JG-01,-0.19314037263393402,0.006471395492553711,-0.05787481740117073,0.23663052916526794,0.33880487084388733,-0.05960851535201073,ACC
TCGA-OR-A5JI-01,-0.06343639642000198,-0.2874610424041748,0.01177816092967987,0.11408117413520813,-0.25946855545043945,-0.13949444890022278,ACC
TCGA-OR-A5JJ-01,-0.11991594731807709,-0.007602959871292114,-0.2739264667034149,0.15894155204296112,0.33952027559280396,-0.0952574759721756,ACC
TCGA-OR-A5JK-01,0.05784948170185089,0.026817619800567627,0.0035147666931152344,0.029333651065826416,0.01795564591884613,0.02776169776916504,ACC
TCGA-OR-A5JL-01,-0.17705900967121124,-0.05159025639295578,0.22740891575813293,-0.0012149512767791748,0.10562345385551453,0.11120256036520004,ACC
TCGA-OR-A5JM-01,0.13437074422836304,0.3152875006198883,0.005101203918457031,0.10101720690727234,0.2037498503923416,0.25505566596984863,ACC
TCGA-OR-A5JO-01,0.252860963344574,-0.14869260787963867,0.12129181623458862,-0.278853178024292,-0.5659602880477905,0.21762827038764954,ACC
TCGA-OR-A5JP-01,-0.04945014417171478,0.0011475738137960434,-0.08571310341358185,0.18578386306762695,0.07811631262302399,-0.22134879231452942,ACC
TCGA-OR-A5JQ-01,0.12221650034189224,-0.18258453905582428,0.09281418472528458,-0.20804300904273987,-0.37251612544059753,-0.19425302743911743,ACC
TCGA-OR-A5JR-01,-0.07962214201688766,-0.14260819554328918,0.09235256165266037,-0.11769489198923111,-0.01121535338461399,-0.32361796498298645,ACC
TCGA-OR-A5JS-01,0.526527464389801,0.17220275104045868,-0.18567971885204315,0.016908451914787292,0.24579942226409912,0.230726420879364,ACC
TCGA-OR-A5JT-01,-0.027816472575068474,-0.16689008474349976,0.31175509095191956,-0.010837249457836151,-0.13659554719924927,-0.14567862451076508,ACC
TCGA-OR-A5JV-01,-0.24097713828086853,0.2388099581003189,0.06271596252918243,-0.18921250104904175,-0.049887143075466156,-0.2512951195240021,ACC
