gene_symbol,ensembl_id,ctrl_mean_expr,var_total,var_residual,var_interaction,noise,interaction_fraction,additive_fraction,reproducibility
NALCN,ENSG00000102452,1.1324936,0.24218875,0.22970217,0.026212756,0.20348942,0.10823275,0.051557213,0.114116274
IGFL4,ENSG00000204869,0.70544595,0.28029355,0.27404508,0.026208565,0.24783652,0.09350399,0.022292607,0.09563596
SMCO2,ENSG00000165935,0.894019,0.3029893,0.28166652,0.026204117,0.2554624,0.08648529,0.07037472,0.09303242
LINC01885,ENSG00000237880,1.0014504,0.31169257,0.2890694,0.026202977,0.26286644,0.08406673,0.07258162,0.09064597
TNFRSF6B,ENSG00000243509,0.85810584,0.33910054,0.29347518,0.02619786,0.26727733,0.07725691,0.13454817,0.089267716
IL7R,ENSG00000168685,0.83533406,0.27573702,0.25098968,0.026172359,0.22481732,0.09491783,0.0897498,0.104276635
LINC02742,ENSG00000249867,1.5093911,0.25331125,0.20666635,0.026171613,0.18049474,0.103318006,0.18414064,0.12663703
KIRREL3,ENSG00000149571,1.0458548,0.31907284,0.30586514,0.02614694,0.2797182,0.08194662,0.041394006,0.0854852
RP1,ENSG00000104237,0.77074605,0.29004917,0.28100652,0.026144559,0.25486195,0.09013837,0.031176267,0.093038976
CRTAC1,ENSG00000095713,0.83074874,0.32160702,0.30488262,0.02612992,0.27875268,0.08124798,0.05200262,0.085704856
E2F2,ENSG00000007968,0.69110894,0.26193264,0.25072643,0.026123216,0.22460322,0.09973257,0.04278279,0.10419012
RFX8,ENSG00000196460,1.1349515,0.30738676,0.26329982,0.026097134,0.23720269,0.08489999,0.14342496,0.099115655
SLC29A3,ENSG00000198246,1.0134752,0.25108677,0.24067654,0.026077893,0.21459864,0.10386008,0.041460704,0.10835245
BACH2,ENSG00000112182,1.4509978,0.13434422,0.11318912,0.026072133,0.08711699,0.19406964,0.15746935,0.23034133
DCLK1,ENSG00000133083,1.0933082,0.271381,0.26625896,0.026066154,0.2401928,0.09605004,0.018873967,0.09789775
GPC5,ENSG00000179399,1.3196416,0.24592261,0.20098852,0.026066149,0.17492236,0.1059933,0.1827164,0.12968974
