drug,n_targets,n_lines,rho,null_mean,z,moa-fine
Cyclosporin A,3,48,0.05851063829787234,0.0010312635692574916,0.49184854450556037,unclear
Dabrafenib,2,48,0.37288319583152413,0.08821102909248806,1.7478357743074542,RAF inhibitor
Daidzin,1,48,0.03386886669561442,0.016709183673469387,0.10872583434879811,unclear
Dapagliflozin,1,48,-0.019431176726009552,-0.03586897524967434,0.11441028525524996,Glucose transporter inhibitor
"Dapagliflozin ((2S)-1,2-propanediol, hydrate)",1,47,-0.030296022201665124,-0.03207678075855689,0.01134206151743277,Glucose transporter inhibitor
Darolutamide,1,48,0.07468519322622666,-0.02997177594442032,0.6586403425807493,Androgen receptor antagonist
Decitabine,3,47,0.09146623496762257,0.05467449121184089,0.23315946642263932,DNA methyltransferase inhibitor
Dexamethasone,1,48,0.44887103777681286,-0.025089557099435517,2.885814038991209,Glucocorticoid receptor agonist
Dexmedetomidine,3,48,0.05188884064264003,-0.10959075119409464,1.1298192014044939,Adrenoceptor agonist
Dimethyl fumarate,1,48,0.13840642640034737,-0.002149370386452451,1.2477553318719237,unclear
Dinaciclib,4,47,0.1725254394079556,0.022158302497687327,0.7798514179196199,CDK inhibitor
Diphenhydramine,1,48,-0.11962657403386888,0.017026704298740775,-0.9507660139600919,unclear
Docetaxel (Trihydrate),6,48,-0.026595744680851064,-0.07606382978723403,0.34806682498304004,Microtubule inhibitor
Dorzolamide (hydrochloride),1,48,-0.12700825010855404,-0.01775673035171516,-0.6211450617355941,unclear
Doxorubicin (hydrochloride),3,48,0.21005210594876247,-0.04412179765523231,1.3661234840488279,DNA synthesis/repair inhibitor
Doxycycline (monohydrate),5,47,-0.06325161887141535,-0.047643963922294176,-0.09259199680341423,unclear
ERK5-IN-2,1,48,0.2510855405992184,0.012565132435953096,1.2511063550702903,Other MAPK inhibitor
EX229,1,48,0.09813287016934434,0.022497828918801557,0.4936177451260337,unclear
Edoxaban (tosylate monohydrate),1,48,0.08412939643942684,0.022215588363004773,0.3464822283254795,unclear
Elagolix sodium,1,48,0.27105948762483717,-0.07465262700825011,2.512485824218046,unclear
Elimusertib hydrochloride,1,48,-0.048198002605297434,0.0634199956578376,-0.8187443841797724,unclear
Encorafenib,1,48,0.2915762049500651,0.033668041684759,1.8474566969789201,RAF inhibitor
Entrectinib,5,48,0.0900998697351281,-0.024856165870603558,0.7536436255855089,Other TK inhibitor
Epirubicin (hydrochloride),1,48,0.02116804168475901,0.016950716456795484,0.024441732207290227,DNA synthesis/repair inhibitor
Eplerenone,1,48,-0.18106817194963093,0.005886343899261831,-1.3595270137489581,unclear
Erdafitinib,4,48,-0.15946591402518456,0.01852746417716022,-1.1782489630347206,Other TK inhibitor
Erlotinib,1,48,0.015197568389057751,-0.03041413373860182,0.3474781313686548,EGFR/ERBB inhibitor
Esmolol (hydrochloride),1,48,-0.0014112027789839339,-0.05279790974578617,0.26781353756877396,unclear
Everolimus,2,48,0.21026921406860616,0.024438232739904468,1.0758458096027312,MTOR inhibitor
Fedratinib (hydrochloride hydrate),3,48,0.21320017368649585,-0.06125705601389492,1.2995220411061523,JAK/STAT inhibitor
Fenofibrate,6,48,-0.20332175423360835,-0.084552757273122,-0.8569688298693515,unclear
Ferulic acid,2,47,-0.018617021276595747,-0.006229764107308046,-0.08108011560452474,Other TK inhibitor
Filgotinib,4,48,0.0486322188449848,0.011398176291793316,0.2223396049061835,JAK/STAT inhibitor
Finasteride,1,47,0.21241905642923217,-0.08332479739401868,1.4556871755379277,unclear
Fingolimod (hydrochloride),1,48,-0.01107251411202779,0.07232414242292662,-0.659534381446605,unclear
Flumatinib (mesylate),1,48,0.26888840642640033,0.07405557967867997,1.9341502921052047,Other TK inhibitor
Flutamide,1,48,0.08923143725575336,0.03786094224924012,0.3401732264940668,Androgen receptor antagonist
Fluvoxamine,1,48,0.30351715154146763,-0.033041141988710374,1.9136851400844552,unclear
Fostamatinib (disodium hexahydrate),4,48,-0.13862353452019105,-0.03502496743378202,-0.7469558679468341,Other TK inhibitor
Fulvestrant,1,48,0.08293530178028659,0.012209617889709071,0.3882013375676105,unclear
Furosemide,2,48,0.07283977420755536,-0.062166196265740346,0.7614192214635902,unclear
Futibatinib,4,48,-0.1622883195831524,-0.03727746417716023,-0.8143981834629668,Other TK inhibitor
GSK1059615,5,48,0.026052974381241857,-0.03953538862353452,0.40889625632266713,PI3K/AKT inhibitor
Gefitinib,1,48,-0.028224055579678674,0.01652464177160226,-0.3509026445352879,EGFR/ERBB inhibitor
Gemfibrozil,5,48,-0.05851063829787234,-0.19691977854971776,1.1587151238171456,unclear
Glasdegib,1,48,0.18334780720798957,-0.004770950933564918,1.1907484292964299,Sonic inhibitor
Goserelin (acetate),1,48,0.25336517585757706,-0.02063884064264003,2.0077462460075943,unclear
HI-TOPK-032,1,48,0.19170646982197131,0.03573871037776812,0.8780869569248755,unclear
Hydroxyfasudil,3,48,0.2593356491532783,-0.02802594442032132,1.6544326024568847,unclear
Hydroxyurea,2,47,-0.16524051803885292,0.0334354764107308,-1.1934746934156848,DNA synthesis/repair inhibitor
Idarubicin (hydrochloride),1,48,0.18562744246634824,0.03104646113764654,0.8494548835079233,DNA synthesis/repair inhibitor
Imiquimod (hydrochloride),1,48,-0.26870046841665907,-0.0669503097875456,-1.1429235374989197,unclear
Imiquimod (maleate),1,47,-0.19473273402951025,-0.08344483270950717,-0.6621557387050715,unclear
Indacaterol (maleate),1,48,-0.1971341728180634,-0.00906697785497178,-1.2339011642920223,Adrenoceptor agonist
Infigratinib,4,48,-0.10616587060356056,-0.023097590099869735,-0.5103234087783111,Other TK inhibitor
Ipatasertib,3,48,0.1900781589231437,-0.014226009552757265,1.2198043417373103,PI3K/AKT inhibitor
Irinotecan,1,48,0.0790273556231003,0.010437472861485018,0.4501205936753763,DNA synthesis/repair inhibitor
Irinotecan (hydrochloride),1,48,-0.04884932696482848,0.03967379504993487,-0.5520610816402118,DNA synthesis/repair inhibitor
Ivabradine (hydrochloride),1,48,-0.16679783977700718,-0.03165844928601878,-0.8390349590220166,unclear
Ixazomib,1,48,0.16033434650455924,0.0177241641337386,0.8677155093714377,Proteasome inhibitor
Ixazomib citrate,3,48,0.11409031697785496,-0.057704624402952674,1.309700188303664,Proteasome inhibitor
L-Eflornithine (monohydrochloride),1,48,0.001519756838905775,0.02993378202344768,-0.1934164598031646,unclear
LB-100,2,48,0.06057316543638732,0.027635149804602688,0.185873382865519,unclear
LJI308,3,48,-0.17661745549283542,0.00697459834997829,-0.8849553542323522,Other MAPK inhibitor
LY-2584702 (tosylate salt),1,47,0.1396854764107308,0.05233580018501388,0.4411927082852335,MTOR inhibitor
LY2090314,2,48,-0.06621797655232306,0.04272145028224055,-0.8370722605718478,GSK3 inhibitor
Lapatinib ditosylate,2,48,-0.17227529309596176,-0.041122991749891445,-0.7507885306170978,EGFR/ERBB inhibitor
Larotrectinib,3,48,-0.07620495006513242,-0.03373317412071212,-0.2657378015840575,Other TK inhibitor
Larotrectinib sulfate,3,48,0.04266174554928354,-0.00448871037776813,0.4019482408653763,Other TK inhibitor
Lenalidomide (hemihydrate),3,48,-0.07392531480677378,-0.02751574033868867,-0.26736987695657927,unclear
