perturbation,n_contexts,n_pairs,shared,context_specific,index,estimable,pert_iname,key,moa-fine
BRD-K21906513,19,2436,0.09987116877115175,0.02227975677135176,0.1823953168787028,True,UNC-669,unc669,L3MBTL antagonist
BRD-K88560311,19,2484,0.09179002419114113,0.020465789687373826,0.18231385066186623,True,rucaparib,rucaparib,PARP inhibitor
BRD-K42805893,24,4518,0.2834003876046379,0.0574183188596629,0.1684717351794691,True,osimertinib,osimertinib,EGFR inhibitor
BRD-K98203492,19,2758,0.15202352123440438,0.03048464159016896,0.16703166104121472,True,GSK-J4,gskj4,histone lysine demethylase inhibitor
BRD-K72636697,15,4840,0.36954993219806415,0.07383552161870532,0.16652671165260668,True,QL-X-138,qlx138,
BRD-K88573743,15,4307,1.6537491459389684,0.323385906785161,0.1635628817260584,True,A-443654,a443654,
BRD-K06569345,15,4603,0.17882319480714287,0.03472638908460763,0.16261511004493756,True,HG-5-88-01,hg58801,
BRD-K13390322,17,7509,1.586643025534981,0.3061247053447795,0.16173389917340378,True,AT-7519,at7519,CDK inhibitor
BRD-A21584801,13,4212,0.1057834265132745,0.02017627574544307,0.16018040201461878,True,brivanib,brivanib,FGFR inhibitor|VEGFR inhibitor
BRD-K29395450,13,4067,0.18244086309137914,0.034631746153957234,0.15953991742374227,True,PIK-93,pik93,PI3K inhibitor
BRD-K95435023,13,4057,0.17546702436994185,0.0323913762029631,0.1558338566720667,True,PHA-665752,pha665752,c-Met inhibitor
BRD-K15592317,13,4170,0.17584264805981878,0.030815446466628517,0.1491131839633065,True,CP-466722,cp466722,
BRD-A60245366,13,3432,0.7370525357089465,0.12880219911067853,0.14875728448549816,True,AS-601245,as601245,
BRD-K45746021,21,4974,0.12807784498650202,0.022135904426986062,0.14736270490162215,True,CC-401,cc401,JNK inhibitor
BRD-K43389698,15,4855,1.6430782337885093,0.2812414157835622,0.14615109077439625,True,BMS-387032,bms387032,CDK inhibitor|cell cycle inhibitor|MCL1 inhibitor
